,Brand,Model Name,Type,Capacity in Tons,Star Rating,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor Unit Weight,Outdoor Unit Weight,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,Price,indoor W,indoor h,indoor d,outdoor W,outdoor h,outdoor d,low Indoor Noise Level,high Indoor Noise Level
181,LG,KS-Q12WNXD,0,1,3,Weber,No,3500,Dual Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Dual Inverter,Copper,9,24.5,,Yes,Yes,3.8,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1080 W,35990,83.7,30.2,18.9,71.5,49.5,23,Low - 35 dB,High - 55 dB
182,LG,KS-Q12WNXD,0,1,3,Weber,No,3500,Dual Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Dual Inverter,Copper,9,24.5,,Yes,Yes,3.8,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1080 W,35990,83.7,30.2,18.9,71.5,49.5,23,Low - 35 dB,High - 55 dB
183,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
185,LG,LS-Q24HNXA1,0,2,3,No Series,No,6300,Dual Rotary,Yes,Yes,R32,,Himalaya Cool Technology,Copper,11.5,40,,No,No,3.96,,Ocean Black Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,1232.78 W,49490,99.8,33,21,87,65,33,Low - 35 dB,High - 55 dB
186,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
187,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
188,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
189,LG,LS-H18VNXD,0,1.5,3,No Series,Yes,5200,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Cool,Copper,11,34.3,,No,No,3.96,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,AC 230 V,1780 W,42930,99.8,33,21,77,54.5,28.8,Low - 35 dB,High - 55 dB
190,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
191,LG,LS-Q24HNXA1,0,2,3,No Series,No,6300,Dual Rotary,Yes,Yes,R32,,Himalaya Cool Technology,Copper,11.5,40,,No,No,3.96,,Ocean Black Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,1232.78 W,49490,99.8,33,21,87,65,33,Low - 35 dB,High - 55 dB
194,LG,KS-Q18YNXA,0,1.5,3,Emerald,No,5000,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,32.5,,Yes,No,3.96,,,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1740 W,37990,83.7,30.2,18.9,77,54.5,28.8,Low - 35 dB,High - 55 dB
195,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
196,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
198,LG,LS-Q12JNXA,0,1,3,No Series,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,,Yes,No,3.73,,Ocean Black Fin,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
199,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
200,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
201,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
203,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
204,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
205,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
208,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
209,LG,KS-Q18MWXD,0,1.5,3,No Series,No,5000,Smart Inverter Compressor,Yes,Yes,R32,,Dual Cool,Copper,9,32.5,,No,No,3.96,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,AC 230 V,1740 W,40990,837,302,189,770,545,288,Low - 35 dB,High - 55 dB
210,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
211,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
212,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
213,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
214,LG,KS-Q12ENXA,0,1,3,Emerald,No,3500,Dual Rotary,Yes,Yes,R32,,Dual Inverter,Copper,9,24.5,LED,Yes,Yes,5,,,No,Yes,2 Way,Air Vent: Cross Flow,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,1080 W,33499,837,302,189,715,495,230,Low - 35 dB,High - 55 dB
215,LG,KS-Q12WNXD,0,1,3,Weber,No,3500,Dual Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Dual Inverter,Copper,9,24.5,,Yes,Yes,3.8,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1080 W,35990,83.7,30.2,18.9,71.5,49.5,23,Low - 35 dB,High - 55 dB
217,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
219,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
220,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
222,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
223,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
226,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
227,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
228,LG,LS-Q12JNXA,0,1,3,Estra N,No,3283,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,9,23.3,Yes,Yes,Yes,3.73,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,31990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 21 dB
184,LG,LS-Q12HNYA,0,1,4,No Series,No,3520,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Inverter,Copper,9,24.5,,Yes,Yes,3.96,Copper,Ocean Black Fin,No,Yes,4 Way,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",649.33 W,41990,83.7,30.8,18.9,71.5,49.5,23,Low - 35 dB,High - 55 dB
197,LG,LS-Q18YNYA,0,1.5,4,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Cool,Copper,10.5,30,LED 7 Segment,Yes,Yes,4,Blue Fin,,No,Yes,2 Way Air Direction,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,920.82 kWh,39990,99.8,33,21,77,54.5,28.8, Low - 36 dB,High - 42 dB
206,LG,LS-Q18YNYA,0,1.5,4,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Cool,Copper,10.5,30,LED 7 Segment,Yes,Yes,4,Blue Fin,,No,Yes,2 Way Air Direction,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,920.82 kWh,39990,99.8,33,21,77,54.5,28.8, Low - 36 dB,High - 42 dB
207,LG,LS-Q18YNYA,0,1.5,4,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Cool,Copper,10.5,30,LED 7 Segment,Yes,Yes,4,Blue Fin,,No,Yes,2 Way Air Direction,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,920.82 kWh,39990,99.8,33,21,77,54.5,28.8, Low - 36 dB,High - 42 dB
216,LG,LS-Q18YNYA,0,1.5,4,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Cool,Copper,10.5,30,LED 7 Segment,Yes,Yes,4,Blue Fin,,No,Yes,2 Way Air Direction,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,920.82 kWh,39990,99.8,33,21,77,54.5,28.8, Low - 36 dB,High - 42 dB
221,LG,LS-Q12HNYA,0,1,4,No Series,No,3520,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Inverter,Copper,9,24.5,,Yes,Yes,4,Copper,Ocean Black Fin,No,Yes,4 Way,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",649.33 W,41990,83.7,30.8,18.9,71.5,49.5,23,Low - 35 dB,High - 55 dB
230,LG,LS-Q18YNYA,0,1.5,4,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"4 Modes (100%, 80%, 60% & 40%), Himalaya Cooling",Dual Cool,Copper,10.5,30,,No,No,4,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,AC 230 V,920.82 kWh,39990,99.8,33,21,77,54.5,28.8,Low - 35 dB,High - 55 dB
171,LG,MS-Q12SWZD,0,1,5,No Series,No,3850,Dual Rotary,Yes,Yes,R32,,Dual Inverter,Copper,8.4,24.5,,Yes,No,4.7,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240, 50 Hz",1050.84 W,37690,837,308,189,717,495,230, Low - 26 dB,High - 31 dB
173,LG,MS-Q18TNZA,0,1.5,5,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"Cooling Mode, Dehumidification Mode, Fan Mode, Auto Operation Mode",Dual Cool,Copper,11,28,Magic Display,Yes,No,4.73,,Ocean Black Fin,Yes,No,2 Way Air Direction,2 Way,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,818.81 kWh,40990,99.8,34.5,21,77,54.5,28.8,Low - 31 dB,High - 55 dB
174,LG,KS-Q18ENZA,0,1.5,5,No Series,No,5100,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,11.5,32.5,,Yes,No,5,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,39990,99.8,33,21,77,54.5,28.8, Low - 26 dB,High - 31 dB
176,LG,MS-Q12HNZA,0,1,5,No Series,No,3470,Dual Inverter Compressor,Yes,Yes,R32,,Dual Inverter,Copper,8.4,24.5,,No,No,4.7,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,AC 120 - 290 V,571.99 W,37990,83.7,30.8,18.9,71.7,49.5,23,Low - 35 dB,High - 55 dB
178,LG,KS-Q18ENZA,0,1.5,5,No Series,No,5100,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,11.5,32.5,,Yes,No,5,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,39990,99.8,33,21,77,54.5,28.8, Low - 26 dB,High - 31 dB
179,LG,MS-Q12KNZA,0,1,5,No Series,No,3850,Dual Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",Dual Inverter,Copper,8.4,24.5,,No,No,4.7,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240, 50 Hz",1050.84 W,37990,837,308,189,717,495,230,Low - 35 dB,High - 55 dB
192,LG,KS-Q18ENZA,0,1.5,5,No Series,No,5100,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,11.5,32.5,,Yes,No,5,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,39990,99.8,33,21,77,54.5,28.8, Low - 26 dB,High - 31 dB
193,LG,MS-Q18SWZD,0,1.5,5,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"Cooling Mode, Heating Mode, Dehumidification Mode, Fan Mode, Auto Operation Mode",Dual Cool,Copper,11,28.5,Magic Display,Yes,No,4.73,,Ocean Black Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,818.81 kWh,45990,99.8,34.5,21,77,54.5,28.8,Low - 31 dB,High - 55 dB
202,LG,MS-Q18SWZD,0,1.5,5,No Series,No,5000,Dual Rotary,Yes,Yes,R32,"Cooling Mode, Heating Mode, Dehumidification Mode, Fan Mode, Auto Operation Mode",Dual Cool,Copper,11,28.5,Magic Display,Yes,No,4.73,,Ocean Black Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,AC 230 V,818.81 kWh,45990,99.8,34.5,21,77,54.5,28.8,Low - 31 dB,High - 55 dB
218,LG,MS-Q12KNZA,0,1,5,No Series,No,3850,Dual Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",Dual Inverter,Copper,8.4,24.5,,No,No,4.7,,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240, 50 Hz",1050.84 W,37990,837,308,189,717,495,230,Low - 35 dB,High - 55 dB
224,LG,MS-Q12SWZD,0,1,5,No Series,No,3850,Dual Rotary,Yes,Yes,R32,,Dual Inverter,Copper,8.4,24.5,,Yes,No,4.7,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240, 50 Hz",1050.84 W,37690,837,308,189,717,495,230, Low - 26 dB,High - 31 dB
225,LG,KS-Q18ENZA,0,1.5,5,No Series,No,5100,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,11.5,32.5,,Yes,No,5,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,39990,99.8,33,21,77,54.5,28.8, Low - 26 dB,High - 31 dB
229,LG,KS-Q18ENZA,0,1.5,5,No Series,No,5100,Dual Rotary,Yes,Yes,R32,,Dual Cool,Copper,11.5,32.5,,Yes,No,5,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,39990,99.8,33,21,77,54.5,28.8, Low - 26 dB,High - 31 dB
