,Brand,Model Name,Type,Capacity in Tons,Star Rating,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,LED Backlit Buttons,Night Glow Buttons on Remote,Battery Type,Price
336,SAMSUNG,AR18AYNZBBE/AR18AYNZBBENNA /AR18AYNZBBEXNA,Split,1.5 Ton,5 Star BEE Rating,White,,,5000 W,Rotary,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",,Copper,105.5 cm x 29.9 cm x 21.5 cm,11.4 kg,88 cm x 63.8 cm x 31 cm,37 kg,,,,,4.65 W/W,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,1380 W,,,AAA Batteries,"35,990"
337,IFB,IACI18GB3G3C1,Split,1.5 Ton,3 Star BEE Rating,White,,,5375 W,Twin Rotary,Yes,Yes,R32,,,Copper,206 mm x 910 mm x 294 mm,10 kg,605 mm x 780 mm x 290 mm,30 kg,,,,,3.72 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 230 V,1119.15 kWh,,,,"38,990"
338,LG,MS-Q12HNZA,Split,1 Ton,5 Star BEE Rating,White,,,3470 W,Dual Inverter Compressor,Yes,Yes,,,,Copper,83.7 cm x 30.8 cm x 18.9 cm,8.4 kg,71.7 cm x 49.5 cm x 23 cm,24.5 kg,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 120 - 290 V,571.99 W,,,,"37,990"
339,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
340,SAMSUNG,AR12AYMZABENNA/XNA,Split,1 Ton,4 Star BEE Rating,White,,,3300 W,Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,82 cm x 29.9 cm x 21.5 cm,9 kg,72 cm x 54.8 cm x 26.5 cm,24.3 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,634.66 W,,,2 AAA Batteries,"29,490"
341,LG,MS-Q12KNZA,Split,1 Ton,5 Star BEE Rating,White,,,3850 W,Dual Rotary,Yes,Yes,R-32,"Auto, Cool, Dry, Fan",,Copper,837 mm x 308 mm x 189 mm,8.4 kg,717 mm x 495 mm x 230 mm,24.5 kg,,,,,4.7 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 220 - 240, 50 Hz",1050.84 W,,,,"37,990"
342,Panasonic,CS/CU-NU18WKYW,Split,1.5 Ton,5 Star BEE Rating,White,,No,5100 W,Twin Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,107 cm x 29 cm x 23.5 cm,11.5 kg,78 cm x 55.7 cm x 24.1 cm,28 kg,,,,,5 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 100 - 240 V,840.75 W,,,,"40,990"
343,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
344,LG,KS-Q12ENXA,Split,1 Ton,3 Star BEE Rating,White,Emerald,No,3500 W,Dual Rotary,Yes,Yes,R-32,,Dual Inverter,Copper,837 mm x 302 mm x 189 mm,9 kg,715 mm x 495 mm x 230 mm,24.5 kg,,LED,Yes,Yes,5 W/W,,,,Yes,2 Way,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,No,,Yes,,Yes,,AC 230 V,1080 W,,No,2 AAA Batteries,"33,499"
345,Daikin,MTKL35TV16W/RKL35TV16W/X/WC,Split,1 Ton,3 Star BEE Rating,White,,No,3500 W,Neo Swing,No,Yes,R-32,,,Copper,80 cm x 29.8 cm x 22.9 cm,12 kg,76.5 cm x 55 cm x 28.5 cm,33 kg,,,,Yes,3.7 W/W,,,,,,,No,Yes,,Yes,Yes,,Yes,Yes,,Yes,,"AC 230 V, 50 Hz",1110 W,,,,"31,490"
346,Godrej,AC 2T GIC 24 MGP5-WRA Split 5S,Split,2 Ton,5 Star BEE Rating,White,,,6300 W,Twin Rotary Inverter,Yes,Yes,R290,,,Aluminium,107.8 cm x 32.5 cm x 24.6 cm,16.5 kg,85 cm x 59 cm x 40 cm,30 kg,,,Yes,Yes,,Hydrophilic Blue Fin Evaporator,PFC with Golden Anti Corrosive Coating,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,AC 230 V,1775 W,,,,"47,000"
347,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
348,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
349,SAMSUNG,AR12AYMZABENNA/XNA,Split,1 Ton,4 Star BEE Rating,White,,,3300 W,Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,82 cm x 29.9 cm x 21.5 cm,9 kg,72 cm x 54.8 cm x 26.5 cm,24.3 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,634.66 W,,,2 AAA Batteries,"29,490"
350,LIVPURE,HKS-IN12K3S19A,Split,1 Ton,3 Star BEE Rating,White,,No,3550 W,Inverter,Yes,Yes,R32,"ECO, Turbo",,Copper,80 cm x 29.5 cm x 23 cm,9.3 kg,78 cm x 55.7 cm x 24.1 cm,28 kg,Low - 37 dB,Hidden,,Yes,4 W/W,,,,Yes,Two Way,Air Vent: Cross Flow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,AC 230 V,1080 W,Yes,Yes,AAA Batteries,"38,990"
351,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
352,LG,KS-Q12WNXD,Split,1 Ton,3 Star BEE Rating,"White, Maroon",Weber,No,3500 W,Dual Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",,Copper,83.7 cm x 30.2 cm x 18.9 cm,9 kg,71.5 cm x 49.5 cm x 23 cm,24.5 kg,,,Yes,Yes,3.8 W/W,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,,"AC 230 V, 50 Hz",1080 W,,Yes,2 AAA Batteries,"35,990"
353,Lloyd,LS12B32WCHD,Split,1 Ton,3 Star BEE Rating,White,,,3650 W,Fixed Speed Compressor,Yes,Yes,,,,Copper,97 cm x 32 cm x 22 cm,12.3 kg,87 cm x 56 cm x 36.5 cm,30.9 kg,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz",781.85 kWh,,,,"33,054"
354,Panasonic,CW-YC1216YA R22,Window,1 Ton,3 Star BEE Rating,White,,No,3250 W,Rotary,Yes,Yes,,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,62 cm x 37.5 cm x 56 cm,43 kg,,,,,,,2.95 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 100 - 240 V,851.52 kWh,,,,"23,490"
355,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
356,SAMSUNG,AR18AY4ZAPG,Split,1.5 Ton,4 Star BEE Rating,White,,,5000 W,Digital Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,,,Yes,Yes,,,,AC 230 V,940.09 W,,,2 AAA Batteries,"33,750"
357,IFB,IACI12SA3G3C,Split,1 Ton,3 Star BEE Rating,White,,,3500 W,Rotary,Yes,Yes,R32,,,Copper,777 mm x 250 mm x 205 mm,8 kg,520 mm x 728 mm x 256 mm,23 kg,,LED,,Yes,3.7 W/W,,,,Yes,,,Yes,Yes,No,Yes,,Yes,,Yes,,,,AC 230 V,732.29 kWh,,,,"32,490"
358,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,Low - 45 dB,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
359,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",Kaze Plus,No,4982 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry",Inverter,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,Low - 48 dB,No,No,Yes,3.67 W/W,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,No,No,AAA Batteries,"31,990"
360,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,,,Yes,3.67 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,,,"31,990"
361,Haier,HWU18C-CV3CNB / HWU18C-CV3CNB1,Window,1.5 Ton,3 Star BEE Rating,White,,,5100 W,Rotary,Yes,Yes,,,,Copper,60 cm x 43 cm x 66 cm,56 kg,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 220 - 240 V,1495 W,,,,"24,440"
362,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",Floral,No,3517 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,Low - 35 dB,Yes,Yes,Yes,3.8 W/W,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 220 - 240 V, 50 Hz",1150 W,No,Yes,2 AAA Batteries,"28,990"
363,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
364,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,Yes,,Yes,3.67 W/W,,,No,Yes,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1748 W,,,2 AAA Batteries,"31,990"
365,Lloyd,LS18I55WBHD,Split,1.5 Ton,5 Star BEE Rating,White,,,5550 W,Duo Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",,Copper,97 cm x 32 cm x 22 cm,12.3 kg,46.5 cm x 65 cm x 97 cm,33 kg,,LED,,,4.54 W/W,,,Yes,Yes,4 Way Air Direction,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,"AC 230 V, 50 Hz",946.91 kWh,Yes,,,"44,560"
366,LG,KS-Q12WNXD,Split,1 Ton,3 Star BEE Rating,"White, Maroon",Weber,No,3500 W,Dual Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",,Copper,83.7 cm x 30.2 cm x 18.9 cm,9 kg,71.5 cm x 49.5 cm x 23 cm,24.5 kg,,,Yes,Yes,3.8 W/W,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,No,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,,"AC 230 V, 50 Hz",1080 W,,Yes,2 AAA Batteries,"35,990"
367,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
368,Voltas,155V DZW (R32),Split,1.2 Ton,5 Star BEE Rating,White,,,4000 W,High EER Rotary - BLDC,Yes,Yes,R32,,,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28.5 kg,,LED,,Yes,5 W/W,,,,Yes,,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,"AC 230 V, 50 Hz",1010 W,,Yes,,"32,990"
369,Hitachi,RSD/ESD/CSD-318HBEA.Z,Split,1.5 Ton,3 Star BEE Rating,White,Merai,,5275 W,Rotary,Yes,Yes,R410A,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,750 mm x 548 mm x 288 mm,11.2 kg,968 mm x 294 mm x 240 mm,33.4 kg,,,,,4 W/W,,,,,,,No,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz",1720 W,,,,"40,500"
370,Godrej,AC 2T GWC 24UTC3-WSA Window 3S,Window,2 Ton,3 Star BEE Rating,White,Intelligent WiFi AC,No,6300 W,Rotary,Yes,Yes,R32,"Cool, Auto, Dry, Fan, Sleep, ECO",360 Degree DC Inverter compressor Technology,Copper,66 cm x 43 cm x 72.3 cm,63 cm,810 mm x 585 mm x 280 mm,31 kg,"High - 44 dB, Low - 34 dB",Hidden Display,Yes,Yes,4.65 W/W,Hydrophilic Blue Fin,Anti Corrosion Gold Fin,,Yes,2 Way,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AC 230 V,1625 W,Yes,Yes,2,"32,990"
371,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
372,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
373,Hitachi,RAFG512HEEA/EAFG512HEEA/CAFG512HEEA,Split,1 Ton,5 Star BEE Rating,Gold,Yugen,No,3516 W,Rotary,Yes,Yes,R410A,"Fan Mode, Auto Mode, Cool Mode, Dry Mode",Insta Kool,Copper,798 mm x 295 mm x 239 mm,9.5 kg,658 mm x 530 mm x 274 mm,38 kg,"High - 45 dB, Low - 26 dB",No,Yes,Yes,4.65 W/W,Blue Coating,Bare,No,Yes,2 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"AC 230, 50 Hz",965 W,Yes,Yes,2,"34,490"
374,Whirlpool,Maxicool Pro,Split,1.5 Ton,3 Star BEE Rating,White,,,1950 W,Rotary,Yes,Yes,R32,,,Copper,890 mm x 220 mm x 300 mm,10 kg,715 mm x 540 mm x 240 mm,23 kg,,,,,4 W/W,,,,,,,No,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz, Single Phase",1087.22 W,,,,"33,099"
375,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
376,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",,No,3517 W,Rotary,Yes,Yes,,,,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,,,,Yes,3.8 W/W,,,No,,,,Yes,Yes,,Yes,Yes,No,No,Yes,,No,,"AC 220 - 240 V, 50 Hz",1150 W,,,,"28,990"
377,Panasonic,CW-XN181AM R-32,Window,1.5 Ton,5 Star BEE Rating,White,,No,5050 W,Rotary,Yes,Yes,,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,78 cm x 43 cm x 66 cm,55 kg,,,,,,,3.34 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 100 - 240 V,685.32 W,,,,"29,560"
378,CARRIER,12K ESTRA N (3 STAR) WRAC AC R22,Window,1 Ton,3 Star BEE Rating,White,Estra N,No,3400 W,Rotary,Yes,Yes,R22,"Dry Mode, Turbo Mode, Sleep Mode, Auto Fan Speed Mode, Energy Saver Mode",Insta Kool,Copper,56 cm x 37.5 cm x 58 cm,42 kg,750 mm x 548 mm x 288 mm,32.4 kg,"High - 49 dB, Low - 47 dB",7 Segment LED Display,Yes,Yes,3.04 W/W,Blue Coating,Bare,No,Yes,,2 Step Fan Speed,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 230, 50 Hz",1120 W,No,No,2 AAA Batteries,"23,990"
379,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
380,Hitachi,RAFG512HEEA/EAFG512HEEA/CAFG512HEEA,Split,1 Ton,5 Star BEE Rating,Gold,Yugen,No,3516 W,Rotary,Yes,Yes,R410A,"Fan Mode, Auto Mode, Cool Mode, Dry Mode",Insta Kool,Copper,798 mm x 295 mm x 239 mm,9.5 kg,658 mm x 530 mm x 274 mm,38 kg,"High - 45 dB, Low - 26 dB",No,Yes,Yes,4.65 W/W,Blue Coating,Bare,No,Yes,2 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"AC 230, 50 Hz",965 W,Yes,Yes,2,"34,490"
381,Whirlpool,Maxicool Pro,Split,1.5 Ton,3 Star BEE Rating,White,,,1950 W,Rotary,Yes,Yes,R32,,,Copper,890 mm x 220 mm x 300 mm,10 kg,715 mm x 540 mm x 240 mm,23 kg,,,,,4 W/W,,,,,,,No,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz, Single Phase",1087.22 W,,,,"33,099"
382,Lloyd,LS18H31LF,Split,1.5 Ton,3 Star BEE Rating,White,,Yes,5100 W,Rotary,Yes,Yes,R410A,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,110 cm x 33 cm x 23.5 cm,14 kg,80 cm x 54.5 cm x 31.5 cm,35 kg,,Hidden LED Display,,Yes,4 W/W,,,,Yes,4 Way,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,,"AC 220 - 240 V, 50 Hz",1800 W,,,2 AAA Batteries,"39,000"
383,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",Kaze Plus,No,4982 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry",Inverter,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,Low - 48 dB,No,No,Yes,3.67 W/W,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,No,No,AAA Batteries,"31,990"
384,CARRIER,24k Estrella Neo 3 Star Window,Window,2 Ton,3 Star BEE Rating,White,,No,2500 W,High EER Rotary,Yes,Yes,R32,,,Copper,61.3 cm x 35.5 cm x 52.5 cm,42 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,,,Yes,3.67 W/W,,,No,,,,Yes,Yes,,No,Yes,No,No,Yes,,No,,AC 230 V,1925 W,,,,"36,000"
385,Blue Star,3W18GBT,Window,1.5 Ton,3 Star BEE Rating,White,,,5078 W,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",,Copper,660 mm x 430 mm x 770 mm,58 kg,,,"High - 52 dB, Low - 48 dB",,,,2.93 W/W,,,,,,,No,Yes,,Yes,,,,Yes,,Yes,,"AC 230 V, 50 Hz",1732 W,,Yes,,"27,345"
