,Brand,Model Name,Type,Capacity in Tons,Star Rating,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,LED Backlit Buttons,Night Glow Buttons on Remote,Battery Type,Price
541,TCL,TAC-18CSD/V3,Split,1.5 Ton,3 Star BEE Rating,White,,,5200 W,Ultra-Inverter Compressor,No,Yes,R32,,,Copper,91 cm x 20.6 cm x 29.4 cm,9 kg,81.7 cm x 55.3 cm x 32.8 cm,32 kg,,,,,,,,,,4 Way,,Yes,Yes,,Yes,,,,Yes,,,,"AC 220 - 240 V, 50 Hz",1750 W,,,,"27,899"
542,Daikin,FTKG60TV16U/RKG60TV16U,Split,1.8 Ton,5 Star BEE Rating,White,,No,6000 W,Neo Swing,No,Yes,R-32,,,Copper,88.5 cm x 29.8 cm x 22.9 cm,16 kg,84.5 cm x 59.5 cm x 30 cm,47 kg,,,,Yes,4.7 W/W,,,,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,"AC 230 V, 50 Hz",1665 W,,,,"55,990"
543,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
544,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",Floral,No,3517 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,Low - 35 dB,Yes,Yes,Yes,3.8 W/W,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 220 - 240 V, 50 Hz",1150 W,No,Yes,2 AAA Batteries,"28,990"
545,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,Split,1.5 Ton,3 Star BEE Rating,White,,No,5350 W,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",,Alloy,1065 mm x 301 mm x 311 mm,13.4 kg,790 mm x 548 mm x 285 mm,29.7 kg,"High - 45 dB, Low - 26 dB",LED,,Yes,3 W/W,Blue,,,Yes,,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,,"AC 220 - 240 V, 50 Hz",1860 W,,Yes,,"56,500"
546,Daikin,JTKJ35TV16U/RKJ35TV16U,Split,1 Ton,5 Star BEE Rating,White,,,3620 W,Rotary,Yes,Yes,,,Streamer Discharge Technology,Copper,885 mm x 298 mm x 229 mm,16 Kg,765 mm x 550 mm x 285 mm,38 Kg,"High - 39 dB, Low - 26 dB",,,,,,,,,,Coanda Airflow,Yes,Yes,,Yes,,,Yes,,,,,"AC 230 V, 50 Hz",822 W,,,,"44,791"
547,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
548,SAMSUNG,AR18AY4ZAPG,Split,1.5 Ton,4 Star BEE Rating,White,,,5000 W,Digital Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,,,Yes,Yes,,,,AC 230 V,940.09 W,,,2 AAA Batteries,"33,750"
549,Blue Star,IC312RBTU,Split,1 Ton,3 Star BEE Rating,"White, Gold",,No,3425 W,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",,Copper,948 mm x 302 mm x 210 mm,11 kg,880 mm x 550 mm x 365 mm,28 kg,,,Yes,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,No,Yes,No,No,No,AC 230 V,1710 W,No,No,2,"31,899"
550,Lloyd,LS18I35WSHD,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5550 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",,Copper,97 cm x 32 cm x 22 cm,12.3 kg,46.5 cm x 65 cm x 97 cm,33 kg,"High - 52 dB, Low - 48 dB",LED,,Yes,3.99 W/W,,,Yes,Yes,4 Way Air Direction,,Yes,Yes,,Yes,Yes,,,Yes,,No,Yes,"AC 230 V, 50 Hz",1077.45 kWh,Yes,Yes,,"39,900"
